id,title,budget_clean,revenue_clean,roi
48382,"The Book of Mormon Movie, Volume 1: The Journey",2000000,1672730,0.836365
196859,Jackpot,400000,43719,0.1092975
96239,Remington and the Curse of the Zombadings,22361,721651,32.27275167
79783,Camilla,8500000,250993,0.029528588
142159,Across to Singapore,290000,596000,2.055172414
3060,The Big Parade,245000,22000000,89.79591837
38687,Flesh and the Devil,373000,658000,1.764075067
55740,Waltzing Anna,1000000,11455,0.011455
54087,Mr. Saturday Night,43000000,13300000,0.309302326
77908,Trois,200000,1160268,5.80134
109410,42,40000000,95020213,2.375505325
70368,The Cheat,17311,137365,7.935127953
37964,Brown Sugar,8000000,27362712,3.420339
69928,The Man Who Loved Women,19000000,11000000,0.578947368
27505,The Unholy Three,103000,704000,6.834951456
49235,Squeeze,500000,10300,0.0206
84401,Sholem Aleichem: Laughing In The Darkness,500000,845188,1.690376
266331,Table For Five,8000000,2439705,0.304963125
78353,Lucky Lady,13000000,24441725,1.880132692
69427,Amarkalam,500000,500000,1
141520,Rita's Last Fairy Tale,200000,486937,2.434685
31059,Nasha Russia: Yaytsa sudby,2000000,22212223,11.1061115
285959,Valentino,1300000,1550000,1.192307692
17820,Show Boat,2300000,11000000,4.782608696
35032,The Pirate,3700000,2956000,0.798918919
9762,Step Up,12000000,114194847,9.51623725
3055,Valley of the Dolls,5000000,50000000,10
43881,San Francisco,1300000,5273000,4.056153846
10269,Yentl,12000000,30400000,2.533333333
85446,Step Up Revolution,33000000,140470746,4.256689273
12508,Rock Star,57000000,16991902,0.298103544
109417,Battle of the Year,20000000,16549477,0.82747385
209451,Jersey Boys,40000000,67347013,1.683675325
3682,54,13000000,16757163,1.289012538
25221,For the Boys,40000000,23202444,0.5800611
3062,42nd Street,439000,2281000,5.195899772
2210,Earth Girls Are Easy,10000000,3916303,0.3916303
525,The Blues Brothers,27000000,115229890,4.267773704
15673,Connie and Carla,20000000,11341016,0.5670508
6279,Sister Act 2: Back in the Habit,38000000,57319029,1.5083955
2005,Sister Act,31000000,231605150,7.471133871
37003,U2 3D,15000000,22730842,1.515389467
21525,Tupac: Resurrection,300000,7808524,26.02841333
12104,Pink Floyd: The Wall,12000000,22244207,1.853683917
193613,Metallica: Through the Never,18000000,7972967,0.442942611
12763,Take the Lead,30000000,34742066,1.158068867
110669,Wabash Avenue,2115000,2039000,0.964066194
10028,Honey,18000000,62646763,3.480375722
340101,Their Finest,32745300,12173470,0.37176236
5689,The Blue Lagoon,4500000,58853106,13.078468
365942,The Space Between Us,30000000,14793385,0.493112833
150689,Cinderella,95000000,543514353,5.721203716
3933,Corpse Bride,40000000,117195061,2.929876525
228326,The Book of Life,50000000,97437106,1.94874212
369557,Sing Street,4000000,13624522,3.4061305
243683,Step Up All In,45000000,86165646,1.914792133
433356,The Ottoman Lieutenant,40000000,240978,0.00602445
22279,An Awfully Big Adventure,4000000,851545,0.21288625
1909,Don Juan DeMarco,25000000,22200000,0.888
1378,Shortbus,2000000,5179037,2.5895185
11240,My Beautiful Laundrette,860000,2451545,2.850633721
84084,Wilson,2995000,2000000,0.667779633
921,Cinderella Man,88000000,108539911,1.23340808
10998,Fatal Attraction,14000000,320145693,22.8675495
43539,The Next Three Days,30000000,51148651,1.704955033
2044,The Lake House,40000000,114830111,2.870752775
1844,Entrapment,66000000,212404396,3.218248424
1587,What's Eating Gilbert Grape,11000000,10032765,0.912069545
8842,Against the Ropes,39000000,6614280,0.169596923
10207,Message in a Bottle,80000000,118880016,1.4860002
18923,A Home at the End of the World,6500000,1548955,0.238300769
1440,Little Children,26000000,14821658,0.570063769
63281,Pro Lyuboff,2000000,1268793,0.6343965
241771,Beyond the Lights,7000000,14618727,2.088389571
31179,Tim,600000,809000,1.348333333
11036,The Notebook,29000000,115603229,3.986318241
258480,Carol,11800000,40272135,3.412892797
222935,The Fault in Our Stars,12000000,307166834,25.59723617
82096,The Painted Veil,947000,1120000,1.182682154
306745,Freeheld,7000000,573335,0.081905
43949,Flipped,14000000,1755212,0.125372286
58431,Pride and Prejudice and Zombies,28000000,16374328,0.584797429
16941,Intermission,5000000,4856298,0.9712596
