genre,avg_roi,film_count
Horror,69.53632809,308
Documentary,19.75578207,40
Foreign,12.14913944,3
Mystery,8.533813535,58
TV Movie,8.4,1
Animation,7.886990849,129
Family,6.430935819,53
History,5.645710002,25
Drama,5.525289076,1107
Science Fiction,5.29527475,96
Adventure,5.056709442,380
Comedy,4.794450065,960
Fantasy,4.489492771,117
Western,4.440967467,25
Romance,3.978739209,97
Thriller,3.824694804,175
Music,3.640698116,32
Crime,3.248018759,235
Action,3.245375053,839
War,1.871109951,28
