id, budget ,genres,genre_1,genre_2,genre_3,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_month,release_year,release_date, revenue ,runtime_minutes,spoken_languages,count_spoken_language,status,tagline,title,vote_average,vote_count,,
218275, $1.00 ,"[{'id': 18, 'name': 'Drama'}]",Drama,,,tt1445208,en,The Letters,2.24,"[{'name': 'Freestyle Releasing', 'id': 4616}, {'name': 'Big Screen Productions', 'id': 10893}, {'name': 'Cinema West Films', 'id': 28805}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",December,2015,12/4/2015, $1.00 ,114,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,The Letters,5.6,10,,
48787, $2.00 ,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",Thriller,Foreign,,tt0110604,en,Mute Witness,2.47,"[{'name': 'Comet Film Produktion GmbH', 'id': 16561}, {'name': 'Avrora Media', 'id': 38959}, {'name': 'Cobblestone Pictures', 'id': 38960}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",September,1995,9/28/1995, $1.00 ,95,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",2,Released,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.,Mute Witness,6.4,36,,
47168, $12.00 ,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",Fantasy,Drama,Comedy,tt0118172,en,The Wind in the Willows,1.41,"[{'name': 'Allied Filmmakers', 'id': 1755}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",October,1996,10/16/1996, $1.00 ,84,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",3,Released,Go wild in the country!,The Wind in the Willows,4.9,16,,
53230, $592.00 ,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Romance,Drama,,tt0016104,en,The Merry Widow,0.29,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'An Erich von Stroheim Production', 'id': 33995}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",August,1925,8/26/1925, $1.00 ,137,[],0,Released,,The Merry Widow,6.5,6,,
14301," $200,000.00 ","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10402, 'name': 'Music'}]",Adventure,Action,Comedy,tt1227926,en,Dr. Horrible's Sing-Along Blog,8.93,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",July,2008,7/15/2008, $3.00 ,42,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,He has a Ph.D. in horribleness!,Dr. Horrible's Sing-Along Blog,7.8,236,,
237214," $390,000.00 ",[],,,,tt3121604,en,Duniyadari,0.02,[],[],July,2014,7/19/2014, $3.00 ,148,"[{'iso_639_1': 'mr', 'name': ''}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",2,Released,,Duniyadari,0,0,,
39472, $30.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt0104804,en,Man Trouble,0.83,"[{'name': 'American Filmworks', 'id': 8310}, {'name': 'Cecchi Gori Pictures', 'id': 65393}, {'name': 'Penta Entertainment', 'id': 73866}, {'name': 'Budding Grove', 'id': 73867}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",July,1992,7/17/1992, $4.00 ,100,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,He Plans To Steal...More Than Her Heart.,Man Trouble,4.7,11,,
50819, $344.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt0294289,en,American Adobo,0.16,"[{'name': 'ABS-CBN Film Productions', 'id': 4676}, {'name': 'Star Cinema Productions', 'id': 10417}, {'name': 'Unitel Classics', 'id': 10706}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'PH', 'name': 'Philippines'}]",September,2001,9/29/2001, $4.00 ,104,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tl', 'name': ''}]",2,Released,Sex is the appetizer. Love is the main course. Friendship is the dessert.,American Adobo,5.3,3,,
220, $1.00 ,"[{'id': 18, 'name': 'Drama'}]",Drama,,,tt0048028,en,East of Eden,6.43,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",March,1955,3/9/1955, $5.00 ,115,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Of what a girl did . . . what a boy did ... of ecstasy and revenge!,East of Eden,7.5,163,,
17402, $6.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt0113808,en,Miami Rhapsody,1.14,"[{'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",January,1995,1/27/1995, $5.00 ,95,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Love is great. Marriage is a completely different affair.,Miami Rhapsody,5.6,7,,
